name,telephone,address,city,postalCode,zone
COSTENOBLE ALINE,03 20 96 42 78,SELARL DOCTEUR ALINE COSTENOBLE 1B RUE DU CHEVALIER DE LA BARRE,SAINGHIN EN WEPPES,59184,Avelin
LABRIFFE JEAN LUC,,31 PLACE LISFRANC,MARCQ EN BAROEUL,59700,Avelin
ALLART FRANCOIS,,31 PLACE LISFRANC,MARCQ EN BAROEUL,59700,Avelin
VELAY ALAIN HENRI,,31 PLACE LISFRANC,MARCQ EN BAROEUL,59700,Avelin
HARB PHILIPPE,03 20 40 83 40,163 RUE DU GAL LECLERC,ST ANDRE LEZ LILLE,59350,Avelin
HILMOINE CHARLOTTE,,SELARL DU DOCTEUR CHARLOTTE HILMOINE 1 RUE PASTEUR,WASQUEHAL,59290,Avelin
VANDEVELDE EMILIE,03 20 45 20 04,SELARL DU DOCTEUR EMILIE VANDEVELDE 1 RUE PASTEUR,WASQUEHAL,59290,Avelin
CAUCHY DELODDERE DELPHINE,03 21 20 56 05,SELARL DES DRS DELPHINE ET DAVID CAUCH 10 PLACE WAGON,HENIN BEAUMONT,62110,Avelin
MASSE ANNE LAETITIA,03 21 20 56 05,DOCTEUR ANNE LAETITIA MASSE TRUFFAUT 10 PLACE WAGON,HENIN BEAUMONT,62110,Avelin
CAUCHY DAVID,03 21 20 56 05,SELARL DES DRS DELPHINE ET DAVID CAUCH 10 PLACE WAGON,HENIN BEAUMONT,62110,Avelin
LONGUEPEE CAROLINE,03 20 75 83 97,SELARL CABINET D ORTHODONTIE 7 RUE DES ECOLES,HEM,59510,Avelin
ESCHARD CAROLINE,03 27 97 08 58,CABINET DU DR ESCHARD 8 RUE MARTIN DU NORD,DOUAI,59500,Avelin
DELEZENNE CHARLOTTE,09 66 96 17 06,4 RUE JEAN JAURES,CROIX,59170,Avelin
RAKOTOMALALA HERVEY,,SELARL DU DR H RAKOTOMALALA 8 RUE DU DR DUCROQUET 8 RUE DU DOCTEUR DUCROQUET,MARCQ EN BAROEUL,59700,Avelin
LECLERCQ VINCENT,03 27 88 75 98,LECLERCQ VINCENT 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avelin
JARCET CAROLINE,03 27 88 75 98,JARCET WALKOWIAK 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avelin
DELACOURT PHILIPPE,,25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avelin
HONORE CHARLES EDOUARD,03 20 11 12 03,29 AVENUE DE LA MARNE,WASQUEHAL,59290,Avelin
LE BRIS CAROLINE,03 20 22 24 04,SELARL DU DOCTEUR LE BRIS CAROLINE 84 RUE EDOUARD AGACHE,PERENCHIES,59840,Avelin
HONG TUAN HA EMILIE,03 20 22 24 04,SELARL DU DOCTEUR HONG TUAN HA EMILIE 84 RUE EDOUARD AGACHE,PERENCHIES,59840,Avelin
DECOCQ PHILIPPE,03 20 73 99 73,SELARL PHILIPPE DECOCQ 41 RUE PIERRE MOTTE,ROUBAIX,59100,Avelin
AMROUNI KARIM,,CABINET DU DR AMROUNI 19 RUE DES ECOLES,ROUBAIX,59100,Avelin
DELCOURT CATHERINE,03 20 87 98 28,CABINET DU DR DELCOURT RES LE LYS D'OR APPT 5 30 RUE FOUQUET LE LONG,BONDUES,59910,Avelin
KUREK JEAN CHRISTOPHE,03 21 40 30 12,CABINET DR KUREK 12D RUE VICTOR HUGO,BENIFONTAINE,62410,Avelin
JOULIA DENIS,03 20 49 90 56,5 RUE DE LILLE,LA BASSEE,59480,Avelin
DEBUS MURIEL,03 20 27 27 30,14 PLACE DE LA VICTOIRE,TOURCOING,59200,Avelin
BETRANCOURT SOPHIE,03 20 27 27 30,SELARLSOPHIE BETRANCOURT 14 PLACE DE LA VICTOIRE,TOURCOING,59200,Avelin
SERGENT TRONET JUSTINE,03 20 24 18 27,SCP DES DOCTEURS SERGENT 56 RUE FIDELE LEHOUCQ,TOURCOING,59200,Avelin
SERGENT OLIVIER,03 20 24 18 27,SCP DES DOCTEURS SERGENT 56 RUE FIDELE LEHOUCQ,TOURCOING,59200,Avelin
GAUTHY SOPHIE,03 21 28 94 75,CABINET DENTAIRE 78 AVENUE DU 4 SEPTEMBRE,LENS,62300,Avelin
PIC AURELIE,03 21 67 05 01,DRS PIC ET VAAST SELARL DE CHIRUGIENS 75 AVENUE DU 4 SEPTEMBRE,LENS,62300,Avelin
MAILLY JULIEN,03 21 67 05 01,SELARL DRS PIC ET VAAST CHIR DENT 75 AVENUE DU 4 SEPTEMBRE,LENS,62300,Avelin
DEVULDER ANNE,03 27 36 80 83,116 RUE DE LA WEMBERGHE,ST AMAND LES EAUX,59230,Avelin
TRUONG TAN TRUNG LISA,03 27 36 80 83,116 RUE DE LA WEMBERGHE,ST AMAND LES EAUX,59230,Avelin
TAGER JOSEPH,03 20 26 33 94,SELARL CAB DENTAIRE DU DR J TAGER CENTRE DE GAULLE RESIDENCE LE BAILLY A 4,TOURCOING,59200,Avelin
LEQUETTE BENJAMIN,,21 RUE DU MARECHAL FOCH,LINSELLES,59126,Avelin
MUTELET OLIVIER,03 20 35 48 10,CABINET DU DR MUTELET 13 RUE PAUL POUCHAIN,ARMENTIERES,59280,Avelin
BOUDOUX BRIGITTE,03 20 35 48 10,CABINET DU DR BOUDOUX DOBY 2/4 PLACE LAMBIN RESIDENCE VERONESE,ARMENTIERES,59280,Avelin
DE GRIECK OLIVIER,03 27 32 04 04,101 RUE D ORCHIES,ST AMAND LES EAUX,59230,Avelin
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA 32 RUE DAVAINE,ST AMAND LES EAUX,59230,Avelin
BURIEZ CYRIL,03 20 03 43 00,CABINET DU DR BURIEZ 365 RUE DE LILLE,RONCQ,59223,Avelin
LEFEBVRE SANDRINE,03 21 44 43 67,CABINET DENTAIRE RESIDENCE EQUINOXE PLACE GAMBETTA,LIEVIN,62800,Avelin
LEFEBVRE BIZARD MARTINE,03 28 36 93 30,10 RUE D HURLUPIN,COMINES,59560,Avelin
DEBUS MURIEL,03 20 27 27 30,14 PLACE DE LA VICTOIRE,TOURCOING,59200,Avelin
BETRANCOURT SOPHIE,03 20 27 27 30,SELARLSOPHIE BETRANCOURT 14 PLACE DE LA VICTOIRE,TOURCOING,59200,Avelin
SERGENT TRONET JUSTINE,03 20 24 18 27,SCP DES DOCTEURS SERGENT 56 RUE FIDELE LEHOUCQ,TOURCOING,59200,Avelin
SERGENT OLIVIER,03 20 24 18 27,SCP DES DOCTEURS SERGENT 56 RUE FIDELE LEHOUCQ,TOURCOING,59200,Avelin
GAUTHY SOPHIE,03 21 28 94 75,CABINET DENTAIRE 78 AVENUE DU 4 SEPTEMBRE,LENS,62300,Avelin
PIC AURELIE,03 21 67 05 01,DRS PIC ET VAAST SELARL DE CHIRUGIENS 75 AVENUE DU 4 SEPTEMBRE,LENS,62300,Avelin
MAILLY JULIEN,03 21 67 05 01,SELARL DRS PIC ET VAAST CHIR DENT 75 AVENUE DU 4 SEPTEMBRE,LENS,62300,Avelin
DEVULDER ANNE,03 27 36 80 83,116 RUE DE LA WEMBERGHE,ST AMAND LES EAUX,59230,Avelin
TRUONG TAN TRUNG LISA,03 27 36 80 83,116 RUE DE LA WEMBERGHE,ST AMAND LES EAUX,59230,Avelin
TAGER JOSEPH,03 20 26 33 94,SELARL CAB DENTAIRE DU DR J TAGER CENTRE DE GAULLE RESIDENCE LE BAILLY A 4,TOURCOING,59200,Avelin
LEQUETTE BENJAMIN,,21 RUE DU MARECHAL FOCH,LINSELLES,59126,Avelin
MUTELET OLIVIER,03 20 35 48 10,CABINET DU DR MUTELET 13 RUE PAUL POUCHAIN,ARMENTIERES,59280,Avelin
BOUDOUX BRIGITTE,03 20 35 48 10,CABINET DU DR BOUDOUX DOBY 2/4 PLACE LAMBIN RESIDENCE VERONESE,ARMENTIERES,59280,Avelin
DE GRIECK OLIVIER,03 27 32 04 04,101 RUE D ORCHIES,ST AMAND LES EAUX,59230,Avelin
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA 32 RUE DAVAINE,ST AMAND LES EAUX,59230,Avelin
BURIEZ CYRIL,03 20 03 43 00,CABINET DU DR BURIEZ 365 RUE DE LILLE,RONCQ,59223,Avelin
LEFEBVRE SANDRINE,03 21 44 43 67,CABINET DENTAIRE RESIDENCE EQUINOXE PLACE GAMBETTA,LIEVIN,62800,Avelin
LEFEBVRE BIZARD MARTINE,03 28 36 93 30,10 RUE D HURLUPIN,COMINES,59560,Avelin
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Avesnelles
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Avesnelles
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Avesnelles
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Avesnelles
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Avesnelles
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Avesnelles
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Avesnelles
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Avesnelles
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Avesnelles
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Avesnelles
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Avesnelles
EL JABRI YASSIR,03 27 44 37 46,CABINET DU DR EL JABRI 14 RUE DU MARECHAL LECLERC,DENAIN,59220,Avesnelles
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Avesnelles
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Avesnelles
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Avesnelles
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Avesnelles
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Avesnelles
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Avesnelles
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Avesnelles
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Avesnelles
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Avesnelles
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Avesnelles
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Avesnelles
EL JABRI YASSIR,03 27 44 37 46,CABINET DU DR EL JABRI 14 RUE DU MARECHAL LECLERC,DENAIN,59220,Avesnelles
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Avesnelles
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Avesnelles
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Avesnelles
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Avesnelles
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Avesnelles
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Avesnelles
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Avesnelles
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Avesnelles
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Avesnelles
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Avesnelles
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Avesnelles
EL JABRI YASSIR,03 27 44 37 46,CABINET DU DR EL JABRI 14 RUE DU MARECHAL LECLERC,DENAIN,59220,Avesnelles
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Avesnelles
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Avesnelles
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Avesnelles
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Avesnelles
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Avesnelles
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Avesnelles
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Avesnelles
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Avesnelles
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Avesnelles
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Avesnelles
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Avesnelles
EL JABRI YASSIR,03 27 44 37 46,CABINET DU DR EL JABRI 14 RUE DU MARECHAL LECLERC,DENAIN,59220,Avesnelles
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Avesnelles
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnelles
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Avesnelles
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Avesnelles
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Avesnelles
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Avesnelles
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Avesnelles
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Avesnelles
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Avesnelles
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Avesnelles
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Avesnelles
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Avesnelles
EL JABRI YASSIR,03 27 44 37 46,CABINET DU DR EL JABRI 14 RUE DU MARECHAL LECLERC,DENAIN,59220,Avesnelles
EL JABRI YASSIR,03 27 44 37 46,CABINET DU DR EL JABRI 14 RUE DU MARECHAL LECLERC,DENAIN,59220,Avesnes-le-Sec
LAVALARD FLORENCE,03 27 82 33 77,65 BOULEVARD VAUBAN,CAMBRAI,59400,Avesnes-le-Sec
DEFURNE ANNE,03 27 74 85 85,SELARL CABINET DENTAIRE DOCTEUR DEFURN 2 AVENUE DE LA VICTOIRE,CAMBRAI,59400,Avesnes-le-Sec
GUILLEMONT ISABELLE,03 27 74 85 85,SELARL CABINET DENTAIRE DOCTEUR GUILLE 2 AVENUE DE LA VICTOIRE,CAMBRAI,59400,Avesnes-le-Sec
BODART CHRISTOPHE,03 27 83 14 48,18B RUE DE PERONNE,CAMBRAI,59400,Avesnes-le-Sec
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Avesnes-le-Sec
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Avesnes-le-Sec
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Avesnes-le-Sec
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Avesnes-le-Sec
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Avesnes-le-Sec
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Avesnes-le-Sec
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Avesnes-le-Sec
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Avesnes-le-Sec
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Avesnes-le-Sec
TRUONG TAN TRUNG LISA,03 27 36 80 83,116 RUE DE LA WEMBERGHE,ST AMAND LES EAUX,59230,Avesnes-le-Sec
DEVULDER ANNE,03 27 36 80 83,116 RUE DE LA WEMBERGHE,ST AMAND LES EAUX,59230,Avesnes-le-Sec
DE GRIECK OLIVIER,03 27 32 04 04,101 RUE D ORCHIES,ST AMAND LES EAUX,59230,Avesnes-le-Sec
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA 32 RUE DAVAINE,ST AMAND LES EAUX,59230,Avesnes-le-Sec
ESCHARD CAROLINE,03 27 97 08 58,CABINET DU DR ESCHARD 8 RUE MARTIN DU NORD,DOUAI,59500,Avesnes-le-Sec
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Avesnes-le-Sec
DELACOURT PHILIPPE,,25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-le-Sec
JARCET CAROLINE,03 27 88 75 98,JARCET WALKOWIAK 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-le-Sec
LECLERCQ VINCENT,03 27 88 75 98,LECLERCQ VINCENT 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-le-Sec
DESSEIN PINET MARTINE,,DESSEIN PINET 24 RUE JULES FERRY,ORCHIES,59310,Avesnes-le-Sec
HENNION JULIETTE,03 20 71 78 00,DESSEIN PINET 24 RUE JULES FERRY,ORCHIES,59310,Avesnes-le-Sec
DELACOURT PHILIPPE,,25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-le-Sec
JARCET CAROLINE,03 27 88 75 98,JARCET WALKOWIAK 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-le-Sec
LECLERCQ VINCENT,03 27 88 75 98,LECLERCQ VINCENT 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-le-Sec
DESSEIN PINET MARTINE,,DESSEIN PINET 24 RUE JULES FERRY,ORCHIES,59310,Avesnes-le-Sec
HENNION JULIETTE,03 20 71 78 00,DESSEIN PINET 24 RUE JULES FERRY,ORCHIES,59310,Avesnes-le-Sec
LAVALARD FLORENCE,03 27 82 33 77,65 BOULEVARD VAUBAN,CAMBRAI,59400,Avesnes-les-Aubert
GUILLEMONT ISABELLE,03 27 74 85 85,SELARL CABINET DENTAIRE DOCTEUR GUILLE 2 AVENUE DE LA VICTOIRE,CAMBRAI,59400,Avesnes-les-Aubert
DEFURNE ANNE,03 27 74 85 85,SELARL CABINET DENTAIRE DOCTEUR DEFURN 2 AVENUE DE LA VICTOIRE,CAMBRAI,59400,Avesnes-les-Aubert
BODART CHRISTOPHE,03 27 83 14 48,18B RUE DE PERONNE,CAMBRAI,59400,Avesnes-les-Aubert
EL JABRI YASSIR,03 27 44 37 46,CABINET DU DR EL JABRI 14 RUE DU MARECHAL LECLERC,DENAIN,59220,Avesnes-les-Aubert
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Avesnes-les-Aubert
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Avesnes-les-Aubert
WAQUET RODRIGUEZ STEPHANIE,03 27 09 07 00,SELARL DR STEPHANIE WAQUET RODRIGUEZ 80 RUE DE PARIS,VALENCIENNES,59300,Avesnes-les-Aubert
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Avesnes-les-Aubert
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Avesnes-les-Aubert
LECOCQ GUILLAUME,03 27 47 43 19,41 RUE DU REMPART,VALENCIENNES,59300,Avesnes-les-Aubert
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Avesnes-les-Aubert
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA BP299 RUE DES CANONNIERS,VALENCIENNES CEDEX,59300,Avesnes-les-Aubert
CQENTRE SANTE DENTAIRE D ANZIN APREVA,,CQENTRE SANTE DENTAIRE D ANZIN APREVA 224 RUE JEAN JAURES,ANZIN,59410,Avesnes-les-Aubert
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Avesnes-les-Aubert
TRUONG TAN TRUNG LISA,03 27 36 80 83,116 RUE DE LA WEMBERGHE,ST AMAND LES EAUX,59230,Avesnes-les-Aubert
DEVULDER ANNE,03 27 36 80 83,116 RUE DE LA WEMBERGHE,ST AMAND LES EAUX,59230,Avesnes-les-Aubert
DE GRIECK OLIVIER,03 27 32 04 04,101 RUE D ORCHIES,ST AMAND LES EAUX,59230,Avesnes-les-Aubert
CENTRE DE SANTE DENTAIRE APREVA,,CENTRE DE SANTE DENTAIRE APREVA 32 RUE DAVAINE,ST AMAND LES EAUX,59230,Avesnes-les-Aubert
ESCHARD CAROLINE,03 27 97 08 58,CABINET DU DR ESCHARD 8 RUE MARTIN DU NORD,DOUAI,59500,Avesnes-les-Aubert
JARCET CAROLINE,03 27 88 75 98,JARCET WALKOWIAK 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-les-Aubert
DELACOURT PHILIPPE,,25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-les-Aubert
LECLERCQ VINCENT,03 27 88 75 98,LECLERCQ VINCENT 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-les-Aubert
JARCET CAROLINE,03 27 88 75 98,JARCET WALKOWIAK 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-les-Aubert
DELACOURT PHILIPPE,,25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-les-Aubert
LECLERCQ VINCENT,03 27 88 75 98,LECLERCQ VINCENT 25 BOULEVARD DE LA REPUBLIQUE,DOUAI,59500,Avesnes-les-Aubert
CORNUT PAULINE,03 27 67 51 82,SELARL DU DOCTEUR PAULINE CORNUT MUDES SELARL DR CORNUT MUDES 1040 AVENUE CLEMENCEAU,FERRIERE LA GRANDE,59680,Avesnes-sur-Helpe
MERCIER GAELE,,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnes-sur-Helpe
POTTIER COUVREUR BENEDICTE,03 27 62 10 64,PORTE DE MONS RESIDENCE LE VAUBAN C,MAUBEUGE,59600,Avesnes-sur-Helpe
FAES JOHN,03 27 77 11 95,48B ROUTE D'HAPPEGARBES,LANDRECIES,59550,Avesnes-sur-Helpe
FLAMENT VALERIE,03 27 25 36 36,37 RUE THIERS,LE QUESNOY,59530,Avesnes-sur-Helpe
DEGARDIN LESNE ANNE CLARY,03 27 45 24 31,37 RUE JACQUES PERDRIX,VALENCIENNES,59300,Avesnes-sur-Helpe
VEERASAMY KESAVAN,03 27 30 93 05,28 RUE DU PROFOND SENS,VALENCIENNES,59300,Avesnes-sur-Helpe
GEYSELINCK HELENE,03 27 47 14 31,19 PLACE JEHAN FROISSART,VALENCIENNES,59300,Avesnes-sur-Helpe
COLLET BILBEAU ANNE SOPHIE,03 27 19 18 10,29 RUE CAPRON,VALENCIENNES,59300,Avesnes-sur-Helpe
